en,score,hospital,sen
doctor obstetrician time file patient card shot 15:30 sit wait nurse ask -PRON- come -PRON- charge time charge time time normal nurse good overall ok patient time little bit -PRON- check doctor disorder fungal infection vagina doctor recommend good -PRON- shoot month check cancer cervical,5,ramathibodi-hospital,1
surgery hospital -PRON- maintain good care doctor Institute neuroscience hospital help care -PRON- surgery come through.when treatment Institute neuroscience -PRON- adjacent -PRON- symptom lose mom ...... friend chronic disease -PRON- okay know eat shoulder -PRON- fat freckle door come doctor consultation -PRON- better dummy begin healthy bone like word selfie treatment Institute neuroscience surgery selfie past year,5,ramathibodi-hospital,1
hospital family relative use service screening system patient information management level excellent personnel hospital good doctor ability level good good standard -PRON- come treat epilepsy diabetes neurological disease year doctor department coordinate daughter -PRON- come treatment epilepsy hospital treatment child adult disease lose follow -PRON- doctor instruction strictly symptom disease -PRON- appear,5,ramathibodi-hospital,1
"Department emergency accident doctor nurse good advice explain effect use drug -PRON- decide 

 maintain fit register web site long need actually use number HH 13 main -PRON- history good emergency -PRON- sit fill form provide information wait little bit longer -PRON- understandable symptom -PRON- look like accident",5,ramathibodi-hospital,1
hospital -PRON- personally use service frequently service good,4,ramathibodi-hospital,1
good care good,4,ramathibodi-hospital,1
good doctor attentive patient great arrange system appointment,4,ramathibodi-hospital,1
surgery doctor kind care good rarely beam mri machine like old episode come reel breath,4,ramathibodi-hospital,1
Nurse good doctor good,5,ramathibodi-hospital,1
surgery ramathibodi hospital surgical procedure hospitalization life concern doctor nurse care instruction surgery sense look come home recuperating problem wound consult staff -PRON- offer good,5,ramathibodi-hospital,1
hospital state service good care doctor nurse agent,5,ramathibodi-hospital,1
date 18/01/60 -PRON- fever fever -PRON- time 18 00 friend -PRON- hospital build maintain building emergency patient lot walk contact variable need good location attentive care ask symptom treatment -PRON- staff work day patient lot care patient thoroughly willing serve smile -PRON- little thing -PRON- know -PRON- willing serve abandon patient,5,ramathibodi-hospital,1
equipment medical modern physician nursing treatment intention excellent service,5,ramathibodi-hospital,1
-PRON- treat cyst ovary surgical procedure hospital doctor good care surgical expertise feel pain hospital turn -PRON- afraid surgery,5,ramathibodi-hospital,1
doctor nurse professional deal ปัญหาเฉพาะหน้า,4,ramathibodi-hospital,1
-PRON- long rant good care especially nurse nurse aide floor build patient care decent medical student cute,5,ramathibodi-hospital,1
Somdech Phra debaratana medical center Ramathibodi hospital doctor nurse room cute greet beam doctor pay attention recommend care mother baby womb thoroughly impressed,5,ramathibodi-hospital,1
treat eye infection hospital doctor doctor -PRON- speak good,4,ramathibodi-hospital,1
service doctor nurse good improve story time check long wait medicine long time,4,ramathibodi-hospital,1
-PRON- doctor hospital Ramathibodi impress straight doctor understand patient problem deeply doctor -PRON- understand symptom sick person correctly accord main health lange diagnosis wildcat badly patient queue treatment large medical care -PRON- beam friendly posture irritated impression patient -PRON- difficult describe simple accurate diagnosis precise inevitably patient heal faster use psychology sick person trouble physically mentally friendly staff emotion know self restraint stress care patient number use friendly face doctor medicine psychological patient person scorn cure physical mind sick person refresh cheer physical ailment -PRON- good result obviously obvious,5,ramathibodi-hospital,1
-PRON- plant identification Thai -PRON- hospital Lampang study Bangkok -PRON- choose come admit hospital convenient initially come contact think official insult -PRON- -PRON- countryman like officer nurse hospital welcome advice walk ask contact willing reply beam Dr. Rattana Kan cute thorough advise medication treatment appointment patient hospital organize fast easily impress happy treatment ramathibodi hospital,5,ramathibodi-hospital,1
service good wait medicine long time,4,ramathibodi-hospital,1
doctor nurse speak friendly detail like hospital aikchol time disappoint thank -PRON- staff friendly good sick,5,ramathibodi-hospital,1
state management system particularly good medical center Queen god,4,ramathibodi-hospital,1
inspect appointment symptom palpitation doctor ECG exam room floor pay fee finance 1st floor floor nurse tell need layer understand neat pay money heart disease actually heart attack dead,2,ramathibodi-hospital,0
Maternity unit nursery room ow care mother birth newborn baby mother problem baby suckling't nurse help -PRON- duty help include nurse monitor result leave hospital -PRON- mother 100,5,ramathibodi-hospital,1
like,5,ramathibodi-hospital,1
link good,4,ramathibodi-hospital,1
system .. detail patient use -PRON- service tell step service case maid come use service,5,ramathibodi-hospital,1
.. hospital advanced tool complete doctor brilliantly modern treatment -PRON- treatment gynecological doctor strike -PRON- -PRON- conjure come doctor -PRON- want -PRON- want strike -PRON- treatment medical treatment timely,5,ramathibodi-hospital,1
system serve patient systematic way staff service patient care grill visit doctor time letter pende shortly systematic methodical environment overall look clean safe,4,ramathibodi-hospital,1
visit doctor experience tool modern small incision doctor nurse attentive admission,4,ramathibodi-hospital,1
-PRON- maternity ... impress step service -PRON- place equipment tool doctor nurse include medical expense good,5,ramathibodi-hospital,1
... system queue management quick doctor consultation definition nurse beam calmly child clean,5,ramathibodi-hospital,1
mom doctor month building god premium pay expensive convenience -PRON- fast thought blood o'clock morning doctor appointment 10 -PRON- detect nearly noon o'clock pay money medicine process slow wait quick benefit hour wait watch .. -PRON- want improve ..,4,ramathibodi-hospital,1
good service pamper cricketer STA day today thank hairball gentleman,5,ramathibodi-hospital,1
Department unit benefit recipient service 1st floor entrance door separate building finish improve chronic cue card .... recommend bring cue card lay health service receiver wait line people insert row people cut line let sympathy people wait maybe cue card -PRON- change position lay terrible like year -PRON- hit record time time -PRON- recommend,1,ramathibodi-hospital,0
good good good good,5,ramathibodi-hospital,1
sir nurse ask tell like ask parking -PRON- good resting -PRON- cool ..,4,ramathibodi-hospital,1
official good attentive patient want precedent,5,ramathibodi-hospital,1
keepers mA hospital crest amazing,5,ramathibodi-hospital,1
disbursement directly medication file paperwork afternoon minute view mobile)officials closed afternoon speak worse come afternoon afternoon time -PRON- wanna know -PRON- clock hour day -PRON- come contact morning -PRON- come line minute -PRON- revile i. patient age walk slowly minute -PRON- come Hillbillies home province trip lot minute,2,ramathibodi-hospital,0
freshman nursing building tho cute .......,5,ramathibodi-hospital,1
feel ease safety early time send ramathibodi hospital -PRON- smell -PRON- nursing care good,5,ramathibodi-hospital,1
good service check -PRON- appointment patient slow use computer system,5,ramathibodi-hospital,1
December year -PRON- aunt seriously ill admit hospital living room ICU later CCU room patient common respectively room doctor -PRON- nurse care QS hospitality great relative sick bring snack milk butter come doctor nurse bother finding Deposit Dr. Deposit nurse relative fall sick -PRON- worry come year -PRON- feel strong tell listen doctor good thank -PRON-,5,ramathibodi-hospital,1
Emergency Department June 24 2559 stitch -PRON- dad suck debris heel -PRON- remove wound inflammation gangrene leave day -PRON- appointment cut heel leave,1,ramathibodi-hospital,0
park -PRON- bike sign parking guard point tell public come contact stand watch come Lok ... pay ... public service personal.and training speech guard like use word rude uneducated person look let crib limelight single nodal point -PRON- play phone guard old hope city people chief guard impolite -PRON- actually slander clarify 0847355004,5,ramathibodi-hospital,1
ethic doctor real partner separate,5,ramathibodi-hospital,1
treatment consider okay AMD Park improve -PRON- lot patient come doctor t car Park hospital -PRON- tell -PRON- park -PRON- hairball shit fit -PRON- sick relative come visit patient car service station taxi private hospital -PRON- big -PRON- rich recommend AMD car like Mall AMD multi layered accommodate doctor nurse -PRON- staff patient AMD,1,ramathibodi-hospital,0
step step mens wheelchair assistant nurse doctor physician medical student position patient relative -PRON- absolutely impressed thank help maintain patient thank -PRON-,5,ramathibodi-hospital,1
kind attentive thank -PRON- ... maid arrogant look bad we(u,5,ramathibodi-hospital,1
Uncle leg pain pay quote like people finance -PRON- mouth talk -PRON- think people come hospital sick sir,1,ramathibodi-hospital,0
-PRON- father unwell,1,ramathibodi-hospital,0
nurse -PRON- good bad especially room Department notice symptom e fat service suck speak terrible adult read Deposit fix nurse bad thee ....... emergency room bad kg unlikely lead country unfortunately ability doctor,1,ramathibodi-hospital,0
want star straight stick staff nurse blood irritate -PRON- -PRON- forget patient -PRON- pain want work quit act real ugly,4,ramathibodi-hospital,1
check clinic special ear nose throat premium doctor write prescription test approximately minute check believe .. know .. imagine patient shot -PRON- time wait week bad bad,2,ramathibodi-hospital,0
hospital lead treatment medical team right thing develop quality service ER nurse step -PRON- create feeling terrible beginning,2,ramathibodi-hospital,0
30 year good lately ... slow,5,ramathibodi-hospital,1
thank -PRON- master problem bratty teenage language conservation provide attentive care patient,5,ramathibodi-hospital,1
dislocate shoulder pull xray dose -PRON- knockoff pain 10 o'clock cry jaw hold pende work er -PRON- original series heavy old word t -PRON- think drop -PRON- mean -- pain hurry sheep leave nurse cotton swab hemostasis drop blood sheep blood -PRON- flick face nurse -PRON- -PRON- listen hat find hospital near thousand treatment slovenly like,1,ramathibodi-hospital,0
nursing speak cock -PRON- -PRON- run patience hairball people -PRON- look upset -PRON- come -PRON- nurse rule -PRON- ask reply -PRON- know -PRON- doctor Hai -PRON- wait doctor -PRON- die -PRON- star -PRON- want cry -PRON- bad grown man big behave Mature speak -PRON- bad service bad thank -PRON- doctor official help time good service -PRON-,1,ramathibodi-hospital,0
thank -PRON- 15 year ago care -PRON- -PRON- stubborn -PRON- kid bad habit nursing sleep kid -PRON- sorry ขออโหสิ karma good teach thing time sleep friend ... thank -PRON- survive today lose -PRON- follow treatment Maharaj Chiang Mai today .. hospital good -PRON- feel great forever,5,ramathibodi-hospital,1
doctor treat child open day know disturbing reply,4,ramathibodi-hospital,1
nurse good know man respect -PRON- old God damn -PRON-,5,ramathibodi-hospital,1
nurse flattering awful -PRON- -PRON- impatient hairball people -PRON- look upset -PRON- come -PRON- nurse rule -PRON- ask invite reply -PRON- know -PRON- doctor ..... -PRON- wait doctor -PRON- die -PRON- star -PRON- want bad service bad thank -PRON- doctor official help time good service -PRON-,1,ramathibodi-hospital,0
want tell rest -PRON- life .... -PRON- think I. mini mind ramathibodi baking time come hospital distortion donate Foundation conventionally'm glad,5,ramathibodi-hospital,1
sorry want ask hospital Dec donate cosmetic old makeup corpse donate way -PRON- donate philanthropy forward hospital -PRON- want know hospital exposure disturb know contact 081 0887436 FB Waksy JS ID ib523 small area inquire,4,ramathibodi-hospital,1
ask -PRON- know -PRON- health problem people want lose weight slimming thigh arm abdomen add weight want white aura acne increase chest want add big long tough long add water add long long time people problem excretion day shooting lunch disease routine like pressure diabetes heart disease cancer help thank -PRON-,5,ramathibodi-hospital,1
Nurse unit antenatal cute good service,5,ramathibodi-hospital,1
thank medical team staff -PRON- time surgery mother mo Howard Johnson haughtily aged 82 year long time hour mother safe life return routine ask encouragement medical faculty staff ask -PRON- family experience happiness prosperity forever thank heart thank -PRON-,5,ramathibodi-hospital,1
like place clean location convenient building staff nice considerate help sick versatility,4,ramathibodi-hospital,1
amazing service great 29 Min -PRON- come doctor appointment,5,ramathibodi-hospital,1
word emergency room doctor nurse ready turn job help sick long sit hand -PRON- right time -PRON- deserve especially especially state -PRON- ready -PRON- clean sick -PRON- trouble -PRON- pain torture -PRON- guy repute Keeper work Hai best ...,1,ramathibodi-hospital,0
terrible service especially nurse,1,ramathibodi-hospital,0
Daughter admit clinic nervous -PRON- people -PRON- need sleep room include extra room add team doctor cute eye great ... history building patient building floor morning daughter tell bind history talk -PRON- -PRON- impress room total cold air luxury feel good,4,ramathibodi-hospital,1
treatment NGO hospital consider good cost high nearly collapse bill,5,ramathibodi-hospital,1
check tell -PRON- contact management system bad ask -PRON- speak lot bad nurse baby stroller car document crank -PRON- -PRON- emotion -PRON- know maybe personal big confuse personal life work service patient lot talk spoil image hospital run,1,ramathibodi-hospital,0
dental good doctor -PRON- nurse -PRON- quality bad inform chief officer,1,ramathibodi-hospital,0
improve service nurse,2,ramathibodi-hospital,0
"friend want star nursing reproaching men long staff disgusting what""a lot patient -PRON- disease stick Sudoku think brain big toe section e official look spanish relative -PRON- let shit sudoku thought working service -PRON- think -PRON-",1,ramathibodi-hospital,0
day 13 25 vaccination flu -PRON- risk group pill solo qualify disease immune,4,ramathibodi-hospital,1
tomorrow bring -PRON- son hatch regain brain matter ..... -PRON- live -PRON- meet hello ... mother eat thread sleep insomnia Canada ... God bless -PRON- ... -PRON- live -PRON- -PRON- find doctor good .. enjoy research .. amen,5,ramathibodi-hospital,1
thank -PRON- ... doctor treat lose time 30 cancer treatment survival word thank -PRON- doctor love language,5,ramathibodi-hospital,1
-PRON- guess -PRON- need use service Shan seed แง๊ๆๆ WA,4,ramathibodi-hospital,1
good service source medicine ramathibodi hospital clean doctor -PRON-,4,ramathibodi-hospital,1
understand lot patient emergency Department sit wait hour damnit,1,ramathibodi-hospital,0
Di .. tiere base Rutter situation si edge edge .. -PRON- 52 year elderly 21 22 year old abdominal pain think fix incandescent fitting taxi kind send Union .. hour lot people doctor -PRON- know nursing student doctor check co CH tell require surgery ectopic pregnancy gluten baht want home nurse -PRON- run pull arm hold 21.00 00.00 pay baht emergency kind life death people money thank -PRON- slowly year doctor fine ... ramathibodi thank -PRON- thank -PRON-,5,ramathibodi-hospital,1
Nurse screening unit trauma center emergency medicine period 16 00 date 21 November ..... 58 nurse Seating mobile work patient check symptom feel check badly ask symptom patient okay check clinic yellow star doctor infect lung wait foreigner bring baby detect communicate English people talk mother walk cry know manager hospital hire nurse man come work nurse understand lot patient need understand job public service choose career good -PRON- want know nurse Inbox,1,ramathibodi-hospital,0
end line 022004249 know work speak tone voice terrible time personnel come work consider service work sick person suffer good tone friendly massive update personnel grow,1,ramathibodi-hospital,0
forward recommend treatment personnel know duty willingly -PRON- ball come maintain year help mind pretty good -PRON-,5,ramathibodi-hospital,1
measle employee sleep toe -PRON- speak shitty manner stirring paw employee counter x ray channel -PRON- treatment -PRON- come beg,1,ramathibodi-hospital,0
service team doctor nurse include staff task care -PRON- friendly,5,ramathibodi-hospital,1
room blood 1st floor -PRON- glass sitting counter barcode printing service elite terrible speak emotion patient imagine change system talk wrong document fastener pacing solve paper -PRON- swear bolt bolt know shift electronic system shit hell bolt hurt free blood drill document wrong -PRON- know find blood screw -PRON- hard hurt goose quit work tiller work shift Buffalo il furious effect folder bad Yan nail upset vigorously suck,1,ramathibodi-hospital,0
want baby age month stick bed -PRON- pray -PRON- sister sick true -PRON- answer way relative respectfully send case refer report silence ... boy endgame Sak reserve light current care icu Ananda Mahidol Lop Buri,4,ramathibodi-hospital,1
hospital service helpful staff good doctor brilliantly nurse kind,5,ramathibodi-hospital,1
star doctor nurse spanish maid suck speak bad verb แย่ๆๆๆๆๆ build floor,4,ramathibodi-hospital,1
April 28 58 time abdominal pain finger gallbladder mind think .. state bad -PRON- find machine .. .. private waste -PRON- location clean nurse kind good doctor -PRON- gas good -PRON- tear good -PRON- deposit -PRON- life .. forever thank -PRON- pearl -PRON- come Constitution ju scrotum,5,ramathibodi-hospital,1
clinic .. amazing -PRON- like .. private wait Queuing morning come appointment time air cool,5,ramathibodi-hospital,1
good service minded financial scary,5,ramathibodi-hospital,1
terrible rhythmic work delay patient 17 30 return hit profit nurse -PRON- melodic second,1,ramathibodi-hospital,0
Appreciate feel good doctor nursing staff good service consulting speaking melodic nice feel good sorry thank -PRON- sacrifice citizen friendly,5,ramathibodi-hospital,1
bear way surgery thank -PRON- team -PRON- care good customer surgical wound pretty trade TA hang co. little -PRON- health body strong good trade,5,ramathibodi-hospital,1
-PRON- son naughty schoolgirl look ... -PRON- ... rub floor hehe,4,ramathibodi-hospital,1
system suck late shot save time patient sit wait -PRON- -PRON- know doctor available help change morning afternoon specified clear time -PRON- rich -PRON- hospital long medication -PRON- -PRON- cheap expensive shit system poor work wait money,1,ramathibodi-hospital,0
like doctor nurse attentive good advice,4,ramathibodi-hospital,1
terrible story car Park hospital invest label permanent glue car park prohibit Park -PRON- send parking doctor official bad,1,ramathibodi-hospital,0
Nurse aunt change age ENT second floor straight channel file check card speak patient worse look like live hanger speak ball feel bad -PRON- nurse conscience patriotic service want -PRON- quit hospital -PRON- reputation standard treatment patient good -PRON- lose people like -PRON- hospital try consider improvement,1,ramathibodi-hospital,0
wait medicine long lot management system terrible waste time -PRON- management particular welfare student,1,ramathibodi-hospital,0
Can birth .. -PRON- come doctor god date November 58 auspicious birth 6.20 today come lie wait prepare day advance nurse inform time time 7.30 pm nurse delivery room tell time wrong time prepare 15 minute 6.00 pm doctor start knife time 6.19 PM 6.21 fear dislocation nurse delivery room original people speak bad tell doctor okay tomorrow queue lot song shock minute -PRON- wait strain time minute -PRON- find auspicious inpatient hospital -PRON- match tell doctor spend 15 minute people tell time knife time time confused sacred tomorrow childbirth obstacle,1,ramathibodi-hospital,0
good service,5,ramathibodi-hospital,1
today lot patient horse ... wonder long queue ... seat ... ว๊าาา ... bad,4,ramathibodi-hospital,1
today family medicine new patient -PRON- q check interview room ignore sick tell -PRON- come ม่ๆๆๆๆ reconcile check,5,ramathibodi-hospital,1
Topix announce find assistant philanthropist nurse physical therapy private outside place come home morning special value -PRON- far stay home eat live know nurse assistant contact -PRON- 0909876767 advance -PRON- 0852108156 mother -PRON- mother walk line seize surgery groin cancer spread know philanthropist permission help disturb -PRON- mother fight lot know APB thank -PRON- help share,5,ramathibodi-hospital,1
... -PRON- look stylish good nurse -PRON- good service Ginkgo driver,5,ramathibodi-hospital,1
yesterday hospital -PRON- arrive long wait worth -PRON- treatment doctor compassion kind patient doctor smile politely doctor respect patient -PRON- doctor good hearted compassionate patient level -PRON- doctor heart disease -PRON- doctor December Mr beauty อุโฆษ build treatment cardiac arrhythmias pendant -PRON- good ask -PRON- Prime lo qi watch -PRON- patient people heal -PRON-,5,ramathibodi-hospital,1
-PRON- think personnel hospital serve -PRON- fully -PRON- know think -PRON- admit -PRON- rarely visit government state come -PRON- want use service,5,ramathibodi-hospital,1
service -PRON- picky shirk responsibility,1,ramathibodi-hospital,0
study doctor master doctor mind Lux treatment patient doctor patient miss Rattana bump Chai arrow symptom low platelet treatment admit -PRON- answer explain Jan treatment -PRON- sick note reply treat -PRON- treatment patient lot ask,1,ramathibodi-hospital,0
treatment excellent service publicity smile recommend place clean stable personnel assure,4,ramathibodi-hospital,1
Professor doctor smart attentive nurse beautiful good food delicious,5,ramathibodi-hospital,1
-PRON- medical treatment good good cry wife lose Tian,5,ramathibodi-hospital,1
... -PRON- update lot staff -PRON- fully authority cart thank -PRON- -PRON- stroller open cart Bishop,5,ramathibodi-hospital,1
time -PRON- medication relative live upcountry come contact stand straight wait wait pay zone drug half hour come impressed know mistake lot people slow usual hospital slow size .. comparison thank area comment,1,ramathibodi-hospital,0
employee new building card room date 02 59 hospital staff try permission counter Chucky -PRON- speak illiterate people bad ask want reply include nurse -PRON- bad rough like -PRON- people -PRON- use innocent ask -PRON- bad,1,ramathibodi-hospital,0
dad terminally ill lung infection cc Yu ye try want maintain -PRON- come profit,5,ramathibodi-hospital,1
thank -PRON- doctor nurse staff -PRON- service,5,ramathibodi-hospital,1
wait medication long mail ....,1,ramathibodi-hospital,0
doctor nurse care patient good good melodic -PRON- thank -PRON- care daughter thank -PRON-,5,ramathibodi-hospital,1
doctor nurse mental sacrifice .. treat patient good systematization good,4,ramathibodi-hospital,1
"-PRON- forget ramathibodi hospital save -PRON- -PRON- ill 2548 terminally ill brain -PRON- treat medical faculty attentive patient today -PRON- strong body complete good everything,,i thank faculty medicine -PRON- -PRON- thing holy ..... save woman like -PRON- -PRON- opportunity help Dai the""""medicine ramathibodi hospital,""""I willing help",5,ramathibodi-hospital,1
Institute create important doctor country institution ramathibodi Chulalongkorn University siriraj hospital,5,ramathibodi-hospital,1
hospital state standard treatment service good patient use service -PRON- know wait long state wait long check doctor nurse personnel hospital help,5,ramathibodi-hospital,1
want know contact number hospital know,4,ramathibodi-hospital,1
hospital shit system worse,1,ramathibodi-hospital,0
-PRON- relative patient province case surgery day t sleep mattress big relative sleep single building emergency chaise 20-the middle corridor walk bed wheelchair patient pass night people come new device sleep floor view jerk eyeball -PRON- try ask officer view mattress relative little bit huh? .. -PRON- propose -PRON- cold sir -PRON- room patient relative stay night -PRON- cost -PRON- ... spite -PRON- relative patient report thousand million -PRON- -PRON- message -PRON- consideration relative patient trouble,2,ramathibodi-hospital,0
today family medicine new patient -PRON- q check interview room ignore sick tell -PRON- come ม่ๆๆๆๆ reconcile check,5,ramathibodi-hospital,1
heal -PRON- son year old year old doctor nurse cute doctor maturity low flattering practice patient patient relative mellow child control emotion poorly child rarely understand people sick day doctor child -PRON- bear -PRON- day doctor understand -PRON- today picture overall good -PRON- intent doctor nurse intention care sick -PRON- strength -PRON- intention period healing past year confident maintain place appreciate thank staff member hospital love Ramathibodi,5,ramathibodi-hospital,1
-PRON- want contact Department disburse straight number derive archive woman interrupt phone boring -PRON- speak complain -PRON- know career service -PRON- 080 611 0369 stamp time,1,ramathibodi-hospital,0
mother -PRON- find doctor pill year dull pain open Supplement result obtain,5,ramathibodi-hospital,1
doctor nurse care patient especially Department obstetric gynecology impress,5,ramathibodi-hospital,1
like build new Department child private fee high normal handle good straight come Sunday find Professor doctor cure ball straight point find cause long,5,ramathibodi-hospital,1
doctor advise price high normal clinic premium find attend ball -PRON- treat point like,5,ramathibodi-hospital,1
"unit document blood today 6.45 pm -PRON- -PRON- aunt hand document -PRON- document hand -PRON- view pretend tilt neck(the meaning -PRON- -PRON- document unfinished actually use words,""for moment yeah yeah""hair look lot oh -PRON- -PRON- glass sitting second left sir -PRON- appreciate official man queue outpatient Department family medicine blood lovely people polite flattering melodious thank -PRON- come good thing villager",4,ramathibodi-hospital,1
massive deepthroat -PRON- surveillance patient TB nurse ask tell relative nurse seven available sale ... hospital state donation poor .. habit unlikely nurse,1,ramathibodi-hospital,0
doctor nursing service ... like private hospital nurse friendly smile mention hospital -PRON- think private course thank -PRON- thank -PRON-,5,ramathibodi-hospital,1
doctor nurse lovely people build obstetric delivery room 4th floor recovery room 6th floor thank -PRON-,4,ramathibodi-hospital,1
star -PRON- like maintain lot nurse patient good use word polite tone voice bad understand lot patient work nursing -PRON- code conduct like eat patient building nurse directly line blood layer pressure gauge layer upset nurse great -PRON- lot bad people minority look bad eye -PRON-,4,ramathibodi-hospital,1
doctor nurse good charter financial equation act life real -PRON- happy boom ask -PRON- money miss,4,ramathibodi-hospital,1
attract little vendor cafeteria harsh -PRON- buy rice eat material งๆๆๆๆๆ,4,ramathibodi-hospital,1
today come doctor find doctor yes zone b today nurse counter seat forward -PRON- file drop prescription find ask nurse pick doctor attach rear submit medicine let -PRON- swing file cart courtesy service terrible think Spain uncle aunt mom crank patient file cart -PRON- come nurse person sit counter body fat skin palpation carping,2,ramathibodi-hospital,0
remain day leave .... impressed day Admiral Schmidt come 14 Dec 58 -PRON- eye Department ordinary man nurse speak good friendly patient stress doctor -PRON- check morning wash record resolution maintain -PRON- thank -PRON- doctor sister -PRON- nurse -PRON- come visible thank tight 16 day hard forget impressed,5,ramathibodi-hospital,1
good good good,5,ramathibodi-hospital,1
Pei equivalent treat currently serve good,5,ramathibodi-hospital,1
hospital modern thank Professor Dr. Tarin justify a. surgical gallstone gallbladder successful thank nurse staff building accident care patient,5,ramathibodi-hospital,1
-PRON- convenient treat eye disease month year ago eye surgery time attentive faculty medicine faculty nursing thank -PRON- heart,5,ramathibodi-hospital,1
update story terrible female nurse Chucky nice,1,ramathibodi-hospital,0
good service country feel lose tired,5,ramathibodi-hospital,1
-PRON- like hospital like service check accord queue specify appointment,5,ramathibodi-hospital,1
treatment count 30 year lot people personnel exhaust,4,ramathibodi-hospital,1
treatment glow new brain tight -PRON- nephew blood shellac little./,5,ramathibodi-hospital,1
good service fast wait long,5,ramathibodi-hospital,1
strike noon afternoon ..... dental Department old building,1,ramathibodi-hospital,0
today -PRON- come security amazing,5,ramathibodi-hospital,1
deposited life,5,ramathibodi-hospital,1
-PRON- love -PRON- respectfully thank -PRON- doctor nurse help care life people -PRON- family lose feeling doctor female v talk patient nurse bad bad high iq EQ low,4,ramathibodi-hospital,1
check Department family medicine December 25 2558 service recommend patient good noon,5,ramathibodi-hospital,1
government hospital good Thailand confirm Ward psychiatry,5,ramathibodi-hospital,1
leave -PRON- need medical equipment -PRON- sale cheap send home genuine insurance bad change company -PRON- interest ID pinpmm27,5,ramathibodi-hospital,1
.... provincial awful sick daughter age year old 22 month,5,ramathibodi-hospital,1
nurse doctor s good place clean neat,5,ramathibodi-hospital,1
Normally afraid surgery think thing time -PRON- enter room authority come talk surgery discuss treatment ask patient afraid afraid speak encourage hand round perceive time book surgery procedure impress hospital service state,5,ramathibodi-hospital,1
