comment,score,hospital,en
ได้รับคำปรึกษาจากทีมแพทย์ดีมากค่ะ (สอบถามผ่านทางเน็ต) ติดต่อสื่อสารรวดเร็ว และ สะดวกยิ่งขึ้น ตั้งแต่ การลงทะเบียนออนไลฟ์ การจองคิว ออนไลน์ โดยเฉพาะ การรับยาโดยไม่ต้องไปรับเอง แต่ ทางโรงพยาบาลรามาธิบดี จะส่งยามาให้ (ขอบคุณมากๆ) ทุกอย่างโดยรวมถือว่าดีมากค่ะ อาทิตย์จะเข้าทำการรักษา แล้วจะมารีวิวเรื่องการพบแพทย์และงานบริการอื่นๆให้ฟังอีกครั้งนะค่ะ,5,ramathibodi-hospital,"Get advice from the medical team very well. (inquire via the Internet) to communicate quickly and more conveniently from registered online life when making a reservation online, especially for drugs without going for custom, but way ramathibodi hospital will send the pharmaceutical to (thank you) everything is very good. the sun will do the treatment and then will review the matter to see a doctor, and other services to listen again."
ไปพบหมอสูติ นอกเวลาค่ะ ยื่นบัตรผู้ป่วยไม่ได้นัด 15:30น. จากนั้นนั่งรอเรียกชื่อค่ะ พยาบาลจะถามว่าเราเป็นอะไรมา แล้วก้อบอกว่าค่าใช้จ่ายนอกเวลาจะชาร์จขึ้นอีกเท่านึงจากเวลาปกตินะ พยาบาลพูดดี  ทุกอย่างโดยรวมถือว่าโอเค แต่คนไข้นอกเวลาเยอะนิดนึงนะคะ ตอนที่เราตรวจไปตรวจภายในค่ะ มีความผิดปกติคือ เป็นเชื้อราในช่องคลอด คุณหมอก็แนะนำดีมากเลยคะ แล้วก้อนัดอีกเดือนนึง เพื่อตรวจหามะเร็จปากมดลูก,5,ramathibodi-hospital,"Went to the doctor, obstetricians, part-time. filed patient card not shots 15:30. Then sit and wait for the call. the nurse will ask what we are come, then I say that the charge time will charge more times, one time normal. nurse said good, everything overall is OK, but in-patient time a little bit. when we checked to the doctor. disorders. is is a fungal infection in the vagina the doctor recommended very good. then I shot another month to check for cancer. cervical"
เคยไปผ่าตัดที่โรงพยาบาลนี้เขารักษาดูแลดีมากทั้งหมอสถาบันประสาทและรพ.นี้ช่วยกันดูแลหนูเป็นอย่างดีเลยตอนผ่าตัดมาผ่าที่รามาตอนรักษารักษาที่สถาบันประสาทมันอยู่ติดกันและตอนนี้ก็ไม่มีอาการแล้วหายแล้วแม่ก็ไปผ่าต้อที่รามาหมอฝีมือดีมากค่ะที่นี้เพื่อนก็มีโรคประจำตัวเขาเป็นไรไม่รู้แต่กินเท่าไหล่ก็ไม่อ้วนมีแต่กระตูกก็มาที่รามาหมอก็ให้คำปรึกษาอย่างดีเขาก็ดีขึ้นหุ่นเริ่มมีน้ำมีนวลขึ้นไม่เห็นกระดูกเหมือนเมื่อก่อนแล้วที่นี้ดีไม่มีคำว่าเลี้ยงไข้เคยไปมารพ.นึงก่อนจะมารักษาที่สถาบันประสาทและได้มาผ่าตัดที่นี้โดนเลี้ยงไข้มา3ปี,5,ramathibodi-hospital,"Ever been to surgery at this hospital he maintain very good care both doctor Institute of neuroscience and hospital. This help to take care of me as well when surgery come through.when treatment at the Institute of neuroscience it is adjacent, and now it has no symptoms, then lost, then mom went to...... that this friend was with chronic disease he's okay, don't know, but eat as much shoulder, it's not fat, but the freckles door came a doctor's consultation, well he is better dummy began to healthy up can't see the bones like before, and then here, well, no, the word selfie ever gone. One before treatment, at the Institute of neuroscience and even surgery. this was a selfie of the past 3 years"
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,ramathibodi-hospital,"Is the hospital the whole family and relatives use the service, screening systems, patient and information management level excellent personnel of the hospital, very good doctors with the ability level of good to very good standard of myself come to treat epilepsy, diabetes and neurological disease here are several years, doctors in various departments to coordinate well, both daughter and I came the treatment of epilepsy at the hospital, this same treatment from a child until now, as an adult, even if the disease is not yet lost, but if follow your doctor's instructions strictly symptoms of the disease, it does not appear out to see."
"ครั้งแรก ไปแผนกฉุกเฉิกแต่ไม่ใช่อุบัติเหตุ แพทย์ พยาบาล ให้คำแนะนำดีมาก อธิบาย ผลข้างเคียงจากการใช้ยา และเราประกอบการตัดสินใจ 

ไม่เคยไปรักษา แต่พอดีเลยลงทะเบียนผ่านหน้าเว็บไซด์ไว้นานแล้ว พอต้องไปจริง ใช้เลข ปชช. 13 หลัก ก็มีประวัติเลย ตรงนี้ดีมาก ขณะที่มีเรื่องฉุกเฉิน เราไม่ต้องมานั่งกรอกแบบฟอร์มหรือแจ้งข้อมูลอีก อาจจะรอนานหน่อย แต่ก็เข้าใจเพราะอาการเราไม่เหมือนอุบัติเหตุ",5,ramathibodi-hospital,"First go to Department of emergency, but not an accident, doctors, nurses give good advice explain side effects from using the drug, and we decide 

Never to maintain, but fit now register through the web site long enough to need to actually use the number. HH. 13 main, it's history yet. here very good, while there's an emergency we don't have to sit and fill out a form or provide information on could wait a little bit longer, but it's understandable because the symptoms, we don't look like an accident."
เป็นโรงพยาบาลที่ผมเองใช้บริการบ่อยๆ การบริการดีมากเลยครับ,4,ramathibodi-hospital,"As a hospital, I personally use the service frequently, the service very good."
ดีครับ ดูแลค่อนข้างดี,4,ramathibodi-hospital,Good care is quite good
ให้บริการดี คุณหมอเอาใจใส่คนไข้ดี จัดเรียงระบบตามเวลานัด,4,ramathibodi-hospital,"Good doctor, attentive patient great arranged system, by appointment"
ผ่าตัดหลังมาค่ะ คุณหมอใจดีมาก จนท.ดูแลดี เสีย แต่ไม่ค่อยยิ้มแย้มแจ่มใส เครื่อง mri เหมือนเก่า ตอนทำออกมาหน้ามืดเลย หายใจไม่ค่อยออก,4,ramathibodi-hospital,"Surgery back, doctor. very kind. Care is good, but rarely beaming mri machine like the old episodes did come out reeling. out of breath"
พยาบาลพูดจาดี หมอเก่งมาก,5,ramathibodi-hospital,"Nurse, good doctor, very good."
ได้รับการผ่าตัดที่โรงพยาบาลรามาธิบดีค่ะ ซึ่งเป็นการผ่าตัดและการนอนโรงพยาบาลครั้งแรกในชีวิต ทำให้มีความกังวลมาก แต่แพทย์และพยาบาลดูแลเป็นอย่างดีค่ะ ให้คำแนะนำทั้งก่อนและหลังผ่าเป็นอย่างดี ทำให้รู้สึกคลายกังวลไปได้เยอะ กลับมาพักฟื้นที่บ้านแล้วมีปัญหาเกี่ยวแผลเลยโทรไปปรึกษา เจ้าหน้าที่ก็ให้บริการดีมากค่ะ,5,ramathibodi-hospital,"Had surgery at ramathibodi hospital which is a surgical procedure and hospitalization, the first in life make, there are many concerns, but the doctor and nurse care as well. give instructions both before and after surgery as well makes sense to look through to come back home recuperating, then there is a problem about the wound. call to consult staff, it offers very good."
ดีทุกอย่าง ติดตรงค่าบริการ แยกบิลแปลกๆ  ซ้ำซ้อน จนต้องเดินไปถาม บอกมาเเค่ว่าหมอสั่ง  เฮ้อ,3,ramathibodi-hospital,"Well, everything is stick straight fee split the bill fetish redundant to go and ask, tell me just what the doctor ordered, huh."
ถึงจะเป็นโรงพยาบาลของรัฐแต่ให้บริการและดูแลดีมากจริงๆค่ะ ตั้งแต่แพทย์พยาบาล จนถึงเจ้าหน้าที่ทุกท่านค่ะ,5,ramathibodi-hospital,"To be a hospital of the state, but the service and take very good care. from doctors, nurses, until all agents."
วันที่ 18/01/60 ฉันเป็นไข้ตัวร้อนมาก ตอนนั้นเวลาประมาณ18.00น. เพื่อนได้พาฉันไปที่โรงพยาบาลซึ่งตึกที่ไปรักษาคืออาคารฉุกเฉินคนไข้เยอะมากกก แต่พอเดินเข้าไปติดต่อเจ้าหน้าที่ใให้การตอนรับดีมาก ยิ้มแย้มแจ่มใส ใส่ใจดูแลถามอาการและให้การรักษาเราอย่างดี ทั้งที่เจ้าหน้าที่ก็ทำงานมาทั้งวันและคนไข้ก็เยอะมากแต่ยังดูแลคนไข้อย่างทั่วถึงและเต็มใจให้บริการ พร้อมรอยยิ้ม มันเป็นสิ่งที่เล็กน้อยแต่ทำให้เรารู้ว่าเค้าเต็มใจให้บริการและไม่ทอดทิ้งคนไข้ค่ะ,5,ramathibodi-hospital,"Date 18/01/60 me fever, fever, it was time about 18. 00. A friend took me to the hospital, which building to maintain the building emergency patient lot, but enough to walk into contact variable but need good location, attentive, caring, asked the symptoms and treatment of us. the whole staff was working day and patients are a lot, but also take care of patients thoroughly and willing to serve with a smile it's a little thing, but we know that he's willing to serve and not to abandon the patient."
อุปกรณ์เครื่องมือแพทย์ทันสมัย แพทย์ พยาบาล ทำการรักษาด้วยความตั้งใจ การบริการดีเยี่ยม,5,ramathibodi-hospital,"Equipment, medical, modern, physician, nursing treatment, with the intention excellent service"
ฉันได้เข้าไปรักษาซีสที่รังไข่ด้วยวิธีการผ่าตัดที่โรงพยาบาลรามา คุณหมอดูแลดีมาก ผ่าตัดเชี่ยวชาญ ไม่เคยรู้สึกเจ็บ โรงพยาบาลี้ทำให้ดิฉันไม่กลัวการผ่าตัดค่ะ,5,ramathibodi-hospital,"I got into treat the cysts at the ovaries with a surgical procedure at the hospital, a doctor took very good care of surgical expertise never feel pain in the hospital turn makes me not afraid of the surgery."
แพทย์ พยาบาล มีความเป็นมืออาชีพมาก สามารถจัดการกับปัญหาเฉพาะหน้าได้เป็นอย่างดี,4,ramathibodi-hospital,"Doctors, nurses are very professional can deal with ปัญหาเฉพาะหน้า as well."
คุณพยายาลพูดจาเพราะทุกคน ดูแลดีมาก โดยเฉพาะพยาบาลและผู้ช่วยพยาบาลชั้น7อาคาร1 ดูแลผู้ป่วยดีมาก  ร่วมถึงนักศึกษาแพทย์ทุกคนล้วนน่ารัก,5,ramathibodi-hospital,"Your long rant because everyone take very good care, especially the nurses and nurse's aide, floor 7, building 1, patient care, decent medical students are all cute"
ศูนย์การแพทย์สมเด็จพระเทพรัตน์ รพ.รามาธิบดี  คุณหมอและพยาบาลหน้าห้อง น่ารักมากๆ ทักทายยิ้มแย้มแจ่มใส คุณหมอ ใส่ใจแนะนำการดูแลคุณแม่และลูกในครรภ์ดีมากๆ อย่างละเอียด ประทับใจมากๆ ค่ะ,5,ramathibodi-hospital,"Somdech Phra debaratana medical center. Ramathibodi hospital, doctor and nurse rooms cute greet the beaming doctor, pay attention recommended to take care of the mother and the baby in the womb, well, thoroughly impressed."
รักษาตาติดเชื้ออยู่ที่โรงบาลนี้ค่ะคุณหมอที่เป้นหมอประจำของเราเขาพูดจาดีมากค่ะ,4,ramathibodi-hospital,Treat eye infection at the hospital. doctor's doctor of the us he spoke very good.
การบริการของหมอและพยาบาลดีมาก.  แต่ควรปรับปรุงคือเรื่องเวลา. รอตรวจนานมาก. รอรับยานานมากเช่นกันค่ะ,4,ramathibodi-hospital,The services of the doctors and nurses very good. But should improve is story time. Check for very long. Wait for the medicine a very long time as well.
พาลูกไปพบแพทย์ ที่ รพ.รามาธิบดี ซึ่งประทับใจมากตรงที่ แพทย์เข้าใจปัญหาของผู้ป่วยอย่างลึกซึ้ง แพทย์ที่นี่ เขาเข้าใจอาการของคนป่วยอย่างถูกต้องตามหลักสุขภาพที่มีเหตุมีผลที่สุด ไม่มีการวินิจฉัยแบบ เดาสุ่มหรือขอไปที แม้นจะมีคนไข้รอคิวรับการตรวจรักษาเป็นจำนวนมากๆ แพทย์ที่ดูแลเราก็ยังยิ้มแย้มแจ่มใส เป็นกันเอง ไม่มีท่าที่หงุดหงิดให้เห็นเลย นั่นคือ ความประทับใจที่คนไข้ได้รับ จนยากจะอธิบาย ซึ่งหาไม่ได้ง่ายๆ จากที่อื่นๆ การวินิจฉัยที่ถูกต้องแม่นยำ ย่อมทำให้ผู้ป่วยหายเร็วขึ้น การใช้จิตวิทยากับคนป่วย (ที่มีทุกข์อยู่แล้วทั้งทางกายและทางใจ)อย่างเป็นมิตร เป็นกันเอง ไม่ใช้อารมณ์ รู้จักการอดกลั้นจากความเครียดที่ต้องดูแลผู้ป่วยจำนวนมากๆ ใช้รอยยิ้มเป็นกันเองบนใบหน้าแพทย์ผู้รักษาย่อมเป็นยาชั้นเลิศด้านจิตใจให้กับผู้ป่วยทุกๆคน อย่างปฎิเสธไม่ได้ นอกเหนือจากยารักษาทางกาย ซึ่งจิตใจของคนป่วยหากสดชื่นมีกำลังใจแล้ว โรคทางกายก็จะได้รับผลดีไปด้วยอย่างเห็นได้ชัดเจนที่สุด,5,ramathibodi-hospital,"Take her to the doctor at the hospital. Ramathibodi which very impressed straight the doctor understand the patient's problem deeply, the doctor here, he understands the symptoms of the sick person correctly according to the main health Lange no diagnosis of a wildcat or something badly, even to have patients queue for treatment is large amounts of medical care, we're still beaming, friendly, no posture irritated to see yet. that is the impression that the patient has been it is difficult to describe, which is not simple from the more accurate diagnosis, precise inevitably makes the patient heal faster using psychology with the sick person (who has already troubled both physically and mentally), friendly staff, no emotion known to self-restraint from stress to care for patients number use friendly on the face, the doctor is indeed a medicine such psychological to the patient every person. scorn not beyond the cure of physical, which the mind of the sick person, if the refreshing cheer, then the physical ailments, it will get a good result to go with, obviously the most obvious"
