comment,score,hospital
ได้รับคำปรึกษาจากทีมแพทย์ดีมากค่ะ (สอบถามผ่านทางเน็ต) ติดต่อสื่อสารรวดเร็ว และ สะดวกยิ่งขึ้น ตั้งแต่ การลงทะเบียนออนไลฟ์ การจองคิว ออนไลน์ โดยเฉพาะ การรับยาโดยไม่ต้องไปรับเอง แต่ ทางโรงพยาบาลรามาธิบดี จะส่งยามาให้ (ขอบคุณมากๆ) ทุกอย่างโดยรวมถือว่าดีมากค่ะ อาทิตย์จะเข้าทำการรักษา แล้วจะมารีวิวเรื่องการพบแพทย์และงานบริการอื่นๆให้ฟังอีกครั้งนะค่ะ,5,ramathibodi-hospital
ไปพบหมอสูติ นอกเวลาค่ะ ยื่นบัตรผู้ป่วยไม่ได้นัด 15:30น. จากนั้นนั่งรอเรียกชื่อค่ะ พยาบาลจะถามว่าเราเป็นอะไรมา แล้วก้อบอกว่าค่าใช้จ่ายนอกเวลาจะชาร์จขึ้นอีกเท่านึงจากเวลาปกตินะ พยาบาลพูดดี  ทุกอย่างโดยรวมถือว่าโอเค แต่คนไข้นอกเวลาเยอะนิดนึงนะคะ ตอนที่เราตรวจไปตรวจภายในค่ะ มีความผิดปกติคือ เป็นเชื้อราในช่องคลอด คุณหมอก็แนะนำดีมากเลยคะ แล้วก้อนัดอีกเดือนนึง เพื่อตรวจหามะเร็จปากมดลูก,5,ramathibodi-hospital
เคยไปผ่าตัดที่โรงพยาบาลนี้เขารักษาดูแลดีมากทั้งหมอสถาบันประสาทและรพ.นี้ช่วยกันดูแลหนูเป็นอย่างดีเลยตอนผ่าตัดมาผ่าที่รามาตอนรักษารักษาที่สถาบันประสาทมันอยู่ติดกันและตอนนี้ก็ไม่มีอาการแล้วหายแล้วแม่ก็ไปผ่าต้อที่รามาหมอฝีมือดีมากค่ะที่นี้เพื่อนก็มีโรคประจำตัวเขาเป็นไรไม่รู้แต่กินเท่าไหล่ก็ไม่อ้วนมีแต่กระตูกก็มาที่รามาหมอก็ให้คำปรึกษาอย่างดีเขาก็ดีขึ้นหุ่นเริ่มมีน้ำมีนวลขึ้นไม่เห็นกระดูกเหมือนเมื่อก่อนแล้วที่นี้ดีไม่มีคำว่าเลี้ยงไข้เคยไปมารพ.นึงก่อนจะมารักษาที่สถาบันประสาทและได้มาผ่าตัดที่นี้โดนเลี้ยงไข้มา3ปี,5,ramathibodi-hospital
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,ramathibodi-hospital
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,ramathibodi-hospital
"ครั้งแรก ไปแผนกฉุกเฉิกแต่ไม่ใช่อุบัติเหตุ แพทย์ พยาบาล ให้คำแนะนำดีมาก อธิบาย ผลข้างเคียงจากการใช้ยา และเราประกอบการตัดสินใจ 

ไม่เคยไปรักษา แต่พอดีเลยลงทะเบียนผ่านหน้าเว็บไซด์ไว้นานแล้ว พอต้องไปจริง ใช้เลข ปชช. 13 หลัก ก็มีประวัติเลย ตรงนี้ดีมาก ขณะที่มีเรื่องฉุกเฉิน เราไม่ต้องมานั่งกรอกแบบฟอร์มหรือแจ้งข้อมูลอีก อาจจะรอนานหน่อย แต่ก็เข้าใจเพราะอาการเราไม่เหมือนอุบัติเหตุ",5,ramathibodi-hospital
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,ramathibodi-hospital
เป็นโรงพยาบาลที่ผมเองใช้บริการบ่อยๆ การบริการดีมากเลยครับ,4,ramathibodi-hospital
ดีครับ ดูแลค่อนข้างดี,4,ramathibodi-hospital
ให้บริการดี คุณหมอเอาใจใส่คนไข้ดี จัดเรียงระบบตามเวลานัด,4,ramathibodi-hospital
ผ่าตัดหลังมาค่ะ คุณหมอใจดีมาก จนท.ดูแลดี เสีย แต่ไม่ค่อยยิ้มแย้มแจ่มใส เครื่อง mri เหมือนเก่า ตอนทำออกมาหน้ามืดเลย หายใจไม่ค่อยออก,4,ramathibodi-hospital
พยาบาลพูดจาดี หมอเก่งมาก,5,ramathibodi-hospital
ได้รับการผ่าตัดที่โรงพยาบาลรามาธิบดีค่ะ ซึ่งเป็นการผ่าตัดและการนอนโรงพยาบาลครั้งแรกในชีวิต ทำให้มีความกังวลมาก แต่แพทย์และพยาบาลดูแลเป็นอย่างดีค่ะ ให้คำแนะนำทั้งก่อนและหลังผ่าเป็นอย่างดี ทำให้รู้สึกคลายกังวลไปได้เยอะ กลับมาพักฟื้นที่บ้านแล้วมีปัญหาเกี่ยวแผลเลยโทรไปปรึกษา เจ้าหน้าที่ก็ให้บริการดีมากค่ะ,5,ramathibodi-hospital
ดีทุกอย่าง ติดตรงค่าบริการ แยกบิลแปลกๆ  ซ้ำซ้อน จนต้องเดินไปถาม บอกมาเเค่ว่าหมอสั่ง  เฮ้อ,3,ramathibodi-hospital
ถึงจะเป็นโรงพยาบาลของรัฐแต่ให้บริการและดูแลดีมากจริงๆค่ะ ตั้งแต่แพทย์พยาบาล จนถึงเจ้าหน้าที่ทุกท่านค่ะ,5,ramathibodi-hospital
วันที่ 18/01/60 ฉันเป็นไข้ตัวร้อนมาก ตอนนั้นเวลาประมาณ18.00น. เพื่อนได้พาฉันไปที่โรงพยาบาลซึ่งตึกที่ไปรักษาคืออาคารฉุกเฉินคนไข้เยอะมากกก แต่พอเดินเข้าไปติดต่อเจ้าหน้าที่ใให้การตอนรับดีมาก ยิ้มแย้มแจ่มใส ใส่ใจดูแลถามอาการและให้การรักษาเราอย่างดี ทั้งที่เจ้าหน้าที่ก็ทำงานมาทั้งวันและคนไข้ก็เยอะมากแต่ยังดูแลคนไข้อย่างทั่วถึงและเต็มใจให้บริการ พร้อมรอยยิ้ม มันเป็นสิ่งที่เล็กน้อยแต่ทำให้เรารู้ว่าเค้าเต็มใจให้บริการและไม่ทอดทิ้งคนไข้ค่ะ,5,ramathibodi-hospital
อุปกรณ์เครื่องมือแพทย์ทันสมัย แพทย์ พยาบาล ทำการรักษาด้วยความตั้งใจ การบริการดีเยี่ยม,5,ramathibodi-hospital
ฉันได้เข้าไปรักษาซีสที่รังไข่ด้วยวิธีการผ่าตัดที่โรงพยาบาลรามา คุณหมอดูแลดีมาก ผ่าตัดเชี่ยวชาญ ไม่เคยรู้สึกเจ็บ โรงพยาบาลี้ทำให้ดิฉันไม่กลัวการผ่าตัดค่ะ,5,ramathibodi-hospital
แพทย์ พยาบาล มีความเป็นมืออาชีพมาก สามารถจัดการกับปัญหาเฉพาะหน้าได้เป็นอย่างดี,4,ramathibodi-hospital
คุณพยายาลพูดจาเพราะทุกคน ดูแลดีมาก โดยเฉพาะพยาบาลและผู้ช่วยพยาบาลชั้น7อาคาร1 ดูแลผู้ป่วยดีมาก  ร่วมถึงนักศึกษาแพทย์ทุกคนล้วนน่ารัก,5,ramathibodi-hospital
ศูนย์การแพทย์สมเด็จพระเทพรัตน์ รพ.รามาธิบดี  คุณหมอและพยาบาลหน้าห้อง น่ารักมากๆ ทักทายยิ้มแย้มแจ่มใส คุณหมอ ใส่ใจแนะนำการดูแลคุณแม่และลูกในครรภ์ดีมากๆ อย่างละเอียด ประทับใจมากๆ ค่ะ,5,ramathibodi-hospital
รักษาตาติดเชื้ออยู่ที่โรงบาลนี้ค่ะคุณหมอที่เป้นหมอประจำของเราเขาพูดจาดีมากค่ะ,4,ramathibodi-hospital
การบริการของหมอและพยาบาลดีมาก.  แต่ควรปรับปรุงคือเรื่องเวลา. รอตรวจนานมาก. รอรับยานานมากเช่นกันค่ะ,4,ramathibodi-hospital
พาลูกไปพบแพทย์ ที่ รพ.รามาธิบดี ซึ่งประทับใจมากตรงที่ แพทย์เข้าใจปัญหาของผู้ป่วยอย่างลึกซึ้ง แพทย์ที่นี่ เขาเข้าใจอาการของคนป่วยอย่างถูกต้องตามหลักสุขภาพที่มีเหตุมีผลที่สุด ไม่มีการวินิจฉัยแบบ เดาสุ่มหรือขอไปที แม้นจะมีคนไข้รอคิวรับการตรวจรักษาเป็นจำนวนมากๆ แพทย์ที่ดูแลเราก็ยังยิ้มแย้มแจ่มใส เป็นกันเอง ไม่มีท่าที่หงุดหงิดให้เห็นเลย นั่นคือ ความประทับใจที่คนไข้ได้รับ จนยากจะอธิบาย ซึ่งหาไม่ได้ง่ายๆ จากที่อื่นๆ การวินิจฉัยที่ถูกต้องแม่นยำ ย่อมทำให้ผู้ป่วยหายเร็วขึ้น การใช้จิตวิทยากับคนป่วย (ที่มีทุกข์อยู่แล้วทั้งทางกายและทางใจ)อย่างเป็นมิตร เป็นกันเอง ไม่ใช้อารมณ์ รู้จักการอดกลั้นจากความเครียดที่ต้องดูแลผู้ป่วยจำนวนมากๆ ใช้รอยยิ้มเป็นกันเองบนใบหน้าแพทย์ผู้รักษาย่อมเป็นยาชั้นเลิศด้านจิตใจให้กับผู้ป่วยทุกๆคน อย่างปฎิเสธไม่ได้ นอกเหนือจากยารักษาทางกาย ซึ่งจิตใจของคนป่วยหากสดชื่นมีกำลังใจแล้ว โรคทางกายก็จะได้รับผลดีไปด้วยอย่างเห็นได้ชัดเจนที่สุด,5,ramathibodi-hospital
ดิฉันมีโรงประจำตัวเป็นไทรอยด์ เคยตรวจที่โรงพยาบาลลำปาง แต่ต้องมาเรียนที่กรุงเทพ เลยเลือกมาเข้ารับการรักษาที่โรงพยาบาลรามา เพราะเดินทางสะดวก ตอนแรกที่เข้ามาติดต่อ คิดว่าเจ้าหน้าที่คงดูถูกเราเพราะเราเป็นคนต่างจังหวัด แต่ไม่เป็นเหมือนที่คิดไว้ เจ้าหน้าที่ และพยาบาลที่โรงพยาบาลรามา ให้การต้อนรับและคำแนะนำเป็นอย่างดี ตอนที่เดินเข้าไปถามว่าต้องติดต่อตรงไหน ก็เต็มใจที่จะตอบ ยิ้มแย้มแจ่มใส คุณหมอรัตนกานต์ น่ารัก พูดเพราะ ตรวจละเอียด ให้คำแนะนำในการกินยา และการรักษาตัวระหว่างนัดเป็นอย่างดี ถึงแม้คนไข้จะเยอะ แต่ทางโรงพยาบาลก็จัดระบบได้อย่างสะดวกรวดเร็ว ประทับใจทุกๆ และมีความสุขกับการรักษาที่โรงพยาบาลรามาธิบดีค่ะ,5,ramathibodi-hospital
บริการดีค่ะแต่รอยานานไปค่ะ,4,ramathibodi-hospital
ทั่งหมอทั่งพยาบาลพูดจาไพเราะมากเป็นกันเองมากให้รายละเอียดเหมือนโรงพยาบาลเอกชลเลยไปกี่ครั้งก็ไม่เคยผิดหวังขอบคุณบุคลากรทุกๆท่านที่เป็นมิตรที่ดีของคนป่วย,5,ramathibodi-hospital
เป็น รพ รัฐที่มีระบบบริหารจัดการที่ดี โดยเฉพาะศูนย์การแพทย์สมเด็จพระเทพฯ,4,ramathibodi-hospital
ไปตรวจตามนัด แล้วมีอาการใจสั่น หมอเลยให้ไปตรวจคลื่นไฟฟ้าหัวใจ ห้องตรวจอยู่ชั้น 2 แต่กลับต้องไปจ่ายเงินค่าทำที่การเงินชั้น 1 ก่อน จากนั้นกลับมาชั้น 2 พยาบาลก็ค่อยบอกว่าต้องขึ้นไปทำชั้น 3 ไม่เข้าใจว่าทำไม่ไม่ทำให้เรียบร้อย ตรวจให้เสร็จแล้วค่อยไปจ่ายเงินทีเดียว ถ้าเป็นโรคหัวใจจริงคงหัวใจวายตายไปแล้ว,2,ramathibodi-hospital
แผนกคลอด และห้องเนอสเซอรี่ดีมากค่ะ ทั้ังการดูแลคุณแม่หลังคลอดและเด็กแรกเกิด คุณแม่มีปัญหาลูกดูดนมไม่ได้ พยาบาลช่วยเต็ม บางท่านออกเวรแล้ว แต่ยังอยู่ต่อเพื่อช่วยเหลือ รวมถึงพยาบาลคอยติดตามผลหลังออกจากรพ.แล้ว ได้ใจคุณแม่ไปเกิน 100 เลยค่ะ,5,ramathibodi-hospital
ชอบค่ะ,5,ramathibodi-hospital
บรีการดีมากค่ะ,4,ramathibodi-hospital
เป็นระบบบ..และให้รายละเอียดกับคนไข้ที่มาใช้บริการได้ดี ตลอดจนมีการบอกขั้นตอนในการบริการในกรณีที่คนใช้มาเข้าใช้บริการ,5,ramathibodi-hospital
ร.พ. เป็นโรงพยาบาลที่มีเครื่องมือทันสมัย และครบถ้วน แพทย์เก่ง มีการรักษาที่ทันสมัย ดิฉันไปรักษาโรคเกี่ยวกับนรีเวชมา แพทย์นัดเราบ่อยมาก เราก็คิดในใจมาบ่อยจัง แต่ไหนได้แพทย์เขาอยากให้เราหาย และไม่อยากให้เป็นมากเลยนัดเราบ่อย และการรักษาของแพทย์เป็นการรักษาที่ทันท่วงที,5,ramathibodi-hospital
มีการจัดระบบการให้บริการผู้ป่วยอย่างเป็นระบบ เจ้าหน้าที่เต็มใจบริการ และดูแลผู้ป่วยย่างรอบด้าน. การเข้าพบแพทย์ตามเวลานีดหมายก็รอไม่นาน ทุกอย่างเป็นระบบระเบียบ สิ่งแวดล้อมโดยรวมดูสะอาดและปลอดภัย,4,ramathibodi-hospital
ได้เข้ารับการตรวจจากแพทย์ผู้มีประสบการณ์  มีเครื่องมือทันสมัย แผลเล็ก แพทย์และพยาบาลเอาใจใส่ตลอดการเข้ารับการรักษา,4,ramathibodi-hospital
ดิฉันไปคลอดที่รามาฯค่ะ ประทับใจทุกขั้นตอนการให้บริการเลยค่ะ ไม่ว่าจะเป็นสถานที่ อุปกรณ์เครื่องมือ แพทย์พยาบาล รวมถึงค่ารักษาพยาบาลดี,5,ramathibodi-hospital
รพ.มีระบบจัดการคิวอย่างรวดเร็ว อ.หมอให้คำปรึกษาได้ละเอียด พยาบาลยิ้มแย้มแจ่มใสใจเย็นกับเด็ก รพ.สะอาดมาก,5,ramathibodi-hospital
พาคุณแม่มาหาหมอทุกเดือนที่ตึกพระเทพฯพรีเมี่ยมค่ะ. ยอมจ่ายเงินแพงกว่าเพื่อความสะดวก รวดเร็ว แต่ก็ไม่ได้เร็วอย่างที่คิด มาเจอะเลือด 7โมงเช้า. หมอนัดตรวจ10โมง กว่าจะได้ตรวจเกือบเที่ยง หรือบ่ายโมง.แล้วไปจ่ายเงินและรับยา ซึ่งขั้นตอนนี้ช้ามากค่ะ รออย่างเร็วสุดๆ 1 ชม. เคยรอถึง 2. ชม.ค่ะ.ตรงจุดนี้อยากให้ปรับปรุงมากๆเลยค่ะ.,4,ramathibodi-hospital
บริการดีเอาใจไส่ดีมาโดยตลอด ตั้งแต่วันแรกจนถึงวันนี้ ขอบคุณเจ้าหน้าทุกท่าน ครับ,5,ramathibodi-hospital
แผนก #หนวยสิทธิประโยชน์ผู้รับบริการ ชั้น1 ตรงประตูทางเข้า แยกตึกชัย ควรที่จะปรับปรุง เรื้องบัตรคิว นะครับ อย่าก จะแนะนำ ให้ นำบัตรคิว มาวางก่อน ได้มัย ผู้รับบริการจะได้ ไม่ต้องไปต่อแถวรอครับ บางคน ก็แทรกแถว บางคนก็แซงคิว อย่ากให้เห็นใจคนที่เจารอ อะคับ บางทีบัตรคิว ก็เปลียนตำแหนงวาง บอกเลย แย่มาก . บอกเลยเป็นอย่างนีมาหลายปีละ ผมมาก่อน ตี4 ทึกครั้งเห็นทุกครั้ง ครับ แค่อย่ากแนะนำ,1,ramathibodi-hospital
ดีครับ ดีมากๆ ดีสุดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดด,5,ramathibodi-hospital
ดีครับพยาบาลดีถามอะไรบอก เช่นถามว่าที่จอดรถอยู่ไหน ก็บอกดี ที่พักผ่อนก็เย็นดี..,4,ramathibodi-hospital
เจ้าหน้าที่ รพ.รามาดีมากครับเอาใจใส่ผู้ป่วยเป็นอย่างดีอยากให้ รพ.อื่นเอาเป็นแบบอย่างครับ,5,ramathibodi-hospital
เคยไปเฝ้าอาม่าอยู่โรงบาลประมาณ2เครสสุดยอด,5,ramathibodi-hospital
มาทำเบิกจ่ายตรงให้ยายยื่นเอกสารตอนตอนบ่าย 3 กับอีก 2 นาที (ดูจากมือถือ)เจ้าหน้าที่บอกว่า เลยเวลาแล้วคะ ปิดรับ. บ่าย 3 แล้วก็พูดจาแย่ ให้มาก่อนบ่าย 3 นะคะ ปิดรับบ่าย 3 มรึงจะตรงเวลาไปไหน กูอยากรู้ว่ามรึงเข้างานกี่โมง ถ้าวันหลังกูมาติดต่อเช้านะแล้วพวกมึงยังไม่มาหรือสาย 2 นาทีกูจะประจานพวกมึงบ้าง คนไข้แก่อายุ 78 เดินช้าไป 2 นาที พวกกูมาจากบ้านนอกคอกนาบ้านอยู่ต่างจังหวัดไงใช้เวลาเดินทางเยอะ แค่ 2 นาที,2,ramathibodi-hospital
น้องพยาบาลตึกออโธฯน่ารักมากทุกคนเลยค่ะ.....,5,ramathibodi-hospital
รู้สึกสบายใจมากๆอุ่นใจที่ต้นคูณถูกส่งตัวมาที่โรงพยาบาลรามาธิบดีคุณหอมและคุณพยาบาลดูแลดีมากๆ,5,ramathibodi-hospital
บริการดี แต่คอยตรวจใช้เวลานายมาก การนัดผู้ป่วยช้ามากๆน่าใช้ระบบคอมพิวเตอร์มาใช้,5,ramathibodi-hospital
